"Sample Number", "Language", "Time", "Number of Partitioning Stages", "Number of Exchanges", "Number of Compares"
203, Python2.7, 0.361, 211429, 764462, 2163828
204, Python2.7, 0.353, 211429, 763936, 2163828
205, Python2.7, 0.317, 211429, 765041, 2163828
206, Python2.7, 0.339, 211429, 765495, 2163828
207, Python2.7, 0.354, 211429, 764529, 2163828
208, Python2.7, 0.318, 211429, 765085, 2163828
209, Python2.7, 0.316, 211429, 764191, 2163828
210, Python2.7, 0.325, 211429, 764233, 2163828
211, Python2.7, 0.362, 211429, 765142, 2163828
212, Python2.7, 0.326, 211429, 765211, 2163828
213, Python2.7, 0.333, 211429, 765479, 2163828
214, Python2.7, 0.341, 211429, 765200, 2163828
215, Python2.7, 0.381, 211429, 765234, 2163828
216, Python2.7, 0.342, 211429, 764725, 2163828
217, Python2.7, 0.326, 211429, 764691, 2163828
218, Python2.7, 0.325, 211429, 764911, 2163828
219, Python2.7, 0.330, 211429, 764698, 2163828
220, Python2.7, 0.343, 211429, 764283, 2163828
221, Python2.7, 0.356, 211429, 764750, 2163828
222, Python2.7, 0.386, 211429, 764967, 2163828
223, Python2.7, 0.350, 211429, 764831, 2163828
224, Python2.7, 0.338, 211429, 764183, 2163828
225, Python2.7, 0.321, 211429, 764704, 2163828
226, Python2.7, 0.321, 211429, 766289, 2163828
227, Python2.7, 0.330, 211429, 764815, 2163828
228, Python2.7, 0.404, 211429, 764979, 2163828
229, Python2.7, 0.325, 211429, 765059, 2163828
230, Python2.7, 0.315, 211429, 764733, 2163828
231, Python2.7, 0.326, 211429, 765057, 2163828
232, Python2.7, 0.331, 211429, 765073, 2163828
233, Python2.7, 0.326, 211429, 764465, 2163828
234, Python2.7, 0.330, 211429, 765263, 2163828
235, Python2.7, 0.344, 211429, 764469, 2163828
236, Python2.7, 0.336, 211429, 764738, 2163828
237, Python2.7, 0.324, 211429, 765138, 2163828
238, Python2.7, 0.369, 211429, 764447, 2163828
239, Python2.7, 0.337, 211429, 765797, 2163828
240, Python2.7, 0.351, 211429, 764487, 2163828
241, Python2.7, 0.335, 211429, 764693, 2163828
242, Python2.7, 0.392, 211429, 764972, 2163828
243, Python2.7, 0.340, 211429, 764159, 2163828
244, Python2.7, 0.340, 211429, 764607, 2163828
245, Python2.7, 0.342, 211429, 765713, 2163828
246, Python2.7, 0.363, 211429, 764874, 2163828
247, Python2.7, 0.338, 211429, 764403, 2163828
248, Python2.7, 0.358, 211429, 765749, 2163828
249, Python2.7, 0.337, 211429, 764749, 2163828
250, Python2.7, 0.359, 211429, 764064, 2163828
251, Python2.7, 0.350, 211429, 764337, 2163828
252, Python2.7, 0.350, 211429, 765107, 2163828
253, Python2.7, 0.340, 211429, 764386, 2163828
254, Python2.7, 0.326, 211429, 764179, 2163828
255, Python2.7, 0.329, 211429, 765416, 2163828
256, Python2.7, 0.329, 211429, 764561, 2163828
257, Python2.7, 0.325, 211429, 765014, 2163828
258, Python2.7, 0.327, 211429, 764994, 2163828
259, Python2.7, 0.369, 211429, 764851, 2163828
260, Python2.7, 0.352, 211429, 764123, 2163828
261, Python2.7, 0.342, 211429, 765359, 2163828
262, Python2.7, 0.356, 211429, 764936, 2163828
263, Python2.7, 0.313, 211429, 764155, 2163828
264, Python2.7, 0.322, 211429, 764124, 2163828
265, Python2.7, 0.324, 211429, 765600, 2163828
266, Python2.7, 0.311, 211429, 764581, 2163828
267, Python2.7, 0.316, 211429, 765249, 2163828
268, Python2.7, 0.363, 211429, 764286, 2163828
269, Python2.7, 0.351, 211429, 763917, 2163828
270, Python2.7, 0.319, 211429, 765209, 2163828
271, Python2.7, 0.370, 211429, 765302, 2163828
272, Python2.7, 0.314, 211429, 765122, 2163828
273, Python2.7, 0.319, 211429, 765384, 2163828
274, Python2.7, 0.363, 211429, 764654, 2163828
275, Python2.7, 0.353, 211429, 764843, 2163828
276, Python2.7, 0.344, 211429, 765008, 2163828
277, Python2.7, 0.317, 211429, 765483, 2163828
278, Python2.7, 0.351, 211429, 764822, 2163828
279, Python2.7, 0.347, 211429, 764306, 2163828
280, Python2.7, 0.323, 211429, 764014, 2163828
281, Python2.7, 0.321, 211429, 764626, 2163828
