"Sample Number","algorithm","fileSize","kvalue","Time"
123,quickselect,10000,9640,0.040
124,quickselect,10000,8344,0.040
125,quickselect,10000,1864,0.036
126,quickselect,10000,9215,0.040
127,quickselect,10000,5956,0.047
128,quickselect,10000,6819,0.048
129,quickselect,10000,3073,0.041
130,quickselect,10000,7506,0.046
131,quickselect,10000,4169,0.034
132,quickselect,10000,6839,0.047
133,quickselect,10000,666,0.036
134,quickselect,10000,4733,0.034
135,quickselect,10000,4959,0.041
136,quickselect,10000,6444,0.044
137,quickselect,10000,8506,0.041
138,quickselect,10000,8595,0.038
139,quickselect,10000,4936,0.043
140,quickselect,10000,9896,0.040
141,quickselect,10000,2680,0.042
142,quickselect,10000,49,0.041
143,quickselect,10000,1701,0.040
144,quickselect,10000,8348,0.037
145,quickselect,10000,3443,0.037
146,quickselect,10000,9451,0.033
147,quickselect,10000,188,0.035
148,quickselect,10000,170,0.041
149,quickselect,10000,5795,0.043
150,quickselect,10000,6055,0.050
151,quickselect,10000,8379,0.039
152,quickselect,10000,8935,0.047
153,quickselect,10000,2270,0.044
154,quickselect,10000,667,0.041
155,quickselect,10000,6937,0.043
156,quickselect,10000,6356,0.042
157,quickselect,10000,8298,0.046
158,quickselect,10000,7351,0.046
159,quickselect,10000,5953,0.056
160,quickselect,10000,4332,0.047
161,quickselect,10000,2374,0.041
162,quickselect,10000,6579,0.045
163,quickselect,10000,1006,0.041
164,quickselect,10000,4478,0.048
165,quickselect,10000,3798,0.041
166,quickselect,10000,5271,0.045
167,quickselect,10000,4069,0.049
168,quickselect,10000,360,0.042
169,quickselect,10000,7650,0.048
170,quickselect,10000,588,0.051
171,quickselect,10000,4676,0.053
172,quickselect,10000,3143,0.046
173,quickselect,10000,2062,0.046
174,quickselect,10000,8277,0.045
175,quickselect,10000,4734,0.039
176,quickselect,10000,1392,0.054
177,quickselect,10000,1128,0.050
178,quickselect,10000,5549,0.053
179,quickselect,10000,1316,0.045
180,quickselect,10000,30,0.051
181,quickselect,10000,9139,0.047
182,quickselect,10000,7871,0.041
183,quickselect,10000,6819,0.065
184,quickselect,10000,5530,0.041
185,quickselect,10000,1350,0.042
186,quickselect,10000,904,0.037
187,quickselect,10000,7599,0.046
188,quickselect,10000,2795,0.037
189,quickselect,10000,1075,0.048
190,quickselect,10000,2493,0.063
191,quickselect,10000,7075,0.045
192,quickselect,10000,9107,0.042
193,quickselect,10000,7432,0.042
194,quickselect,10000,412,0.045
195,quickselect,10000,8870,0.050
196,quickselect,10000,5669,0.045
197,quickselect,10000,6920,0.048
198,quickselect,10000,8004,0.042
199,quickselect,10000,7068,0.042
200,quickselect,10000,3671,0.042
001,quickselect,100000,30022,0.227
002,quickselect,100000,16627,0.174
003,quickselect,100000,1474,0.146
004,quickselect,100000,2796,0.182
005,quickselect,100000,27639,0.269
006,quickselect,100000,24467,0.171
007,quickselect,100000,8151,0.127
008,quickselect,100000,6766,0.149
009,quickselect,100000,22005,0.154
010,quickselect,100000,12131,0.159
011,quickselect,100000,21003,0.273
012,quickselect,100000,30478,0.160
013,quickselect,100000,20931,0.163
014,quickselect,100000,26295,0.185
015,quickselect,100000,30200,0.207
016,quickselect,100000,31787,0.271
017,quickselect,100000,31268,0.191
018,quickselect,100000,11360,0.178
019,quickselect,100000,27059,0.164
020,quickselect,100000,26788,0.171
021,quickselect,100000,18554,0.221
022,quickselect,100000,217,0.134
023,quickselect,100000,16257,0.173
024,quickselect,100000,31198,0.153
025,quickselect,100000,16607,0.139
026,quickselect,100000,3638,0.147
027,quickselect,100000,11609,0.248
028,quickselect,100000,11156,0.211
029,quickselect,100000,17413,0.181
030,quickselect,100000,2765,0.230
031,quickselect,100000,30750,0.248
032,quickselect,100000,10338,0.249
033,quickselect,100000,8910,0.185
034,quickselect,100000,6817,0.233
035,quickselect,100000,22168,0.135
036,quickselect,100000,14095,0.171
037,quickselect,100000,20394,0.185
038,quickselect,100000,23442,0.152
039,quickselect,100000,2103,0.198
040,quickselect,100000,12445,0.170
041,quickselect,100000,18868,0.145
042,quickselect,100000,2119,0.112
043,quickselect,100000,7048,0.147
044,quickselect,100000,19218,0.118
045,quickselect,100000,7564,0.216
046,quickselect,100000,24023,0.153
047,quickselect,100000,8307,0.163
048,quickselect,100000,17668,0.206
049,quickselect,100000,6130,0.137
050,quickselect,100000,12346,0.156
051,quickselect,100000,16955,0.165
052,quickselect,100000,15847,0.137
053,quickselect,100000,1575,0.189
054,quickselect,100000,22898,0.145
055,quickselect,100000,1330,0.150
056,quickselect,100000,18199,0.242
057,quickselect,100000,8196,0.170
058,quickselect,100000,28537,0.144
059,quickselect,100000,9279,0.135
060,quickselect,100000,31140,0.133
061,quickselect,100000,30679,0.146
062,quickselect,100000,27881,0.124
063,quickselect,100000,18961,0.128
064,quickselect,100000,7391,0.114
065,quickselect,100000,3073,0.095
066,quickselect,100000,14446,0.138
067,quickselect,100000,8736,0.101
068,quickselect,100000,10664,0.130
069,quickselect,100000,22096,0.140
070,quickselect,100000,14060,0.147
071,quickselect,100000,32104,0.110
072,quickselect,100000,13941,0.140
073,quickselect,100000,29981,0.151
074,quickselect,100000,21615,0.114
075,quickselect,100000,1765,0.098
076,quickselect,100000,6179,0.102
077,quickselect,100000,18981,0.122
078,quickselect,100000,12246,0.099
079,quickselect,100000,17357,0.120
080,quickselect,100000,17277,0.124
081,quickselect,100000,11048,0.138
082,quickselect,100000,21823,0.127
083,quickselect,100000,23440,0.144
084,quickselect,100000,15245,0.104
085,quickselect,100000,67,0.111
086,quickselect,100000,13105,0.136
087,quickselect,100000,25488,0.174
088,quickselect,100000,6309,0.153
089,quickselect,100000,27662,0.135
090,quickselect,100000,13964,0.162
091,quickselect,100000,10912,0.152
092,quickselect,100000,29739,0.141
093,quickselect,100000,22901,0.167
094,quickselect,100000,14641,0.175
095,quickselect,100000,16446,0.176
096,quickselect,100000,17704,0.146
097,quickselect,100000,2903,0.162
098,quickselect,100000,12145,0.164
099,quickselect,100000,13200,0.217
100,quickselect,100000,31120,0.155
101,quickselect,100000,2528,0.146
102,quickselect,100000,16439,0.127
103,quickselect,100000,17953,0.151
104,quickselect,100000,22607,0.156
105,quickselect,100000,2471,0.099
106,quickselect,100000,13300,0.140
107,quickselect,100000,3672,0.106
108,quickselect,100000,30744,0.112
109,quickselect,100000,10375,0.161
110,quickselect,100000,26189,0.147
111,quickselect,100000,17852,0.168
112,quickselect,100000,22252,0.116
113,quickselect,100000,7229,0.119
114,quickselect,100000,9863,0.099
115,quickselect,100000,16105,0.157
116,quickselect,100000,24172,0.126
117,quickselect,100000,11974,0.107
118,quickselect,100000,12974,0.167
119,quickselect,100000,16209,0.195
120,quickselect,100000,24800,0.151
121,quickselect,100000,9334,0.190
122,quickselect,100000,14728,0.182
123,quickselect,100000,14516,0.122
124,quickselect,100000,23299,0.150
125,quickselect,100000,26584,0.112
126,quickselect,100000,3901,0.144
127,quickselect,100000,7773,0.142
