"Sample Number","algorithm","fileSize","kvalue","Time"
105,quicksort,1000,336,0.026
106,quicksort,1000,25,0.028
107,quicksort,1000,647,0.030
108,quicksort,1000,496,0.028
109,quicksort,1000,634,0.034
110,quicksort,1000,950,0.028
111,quicksort,1000,119,0.027
112,quicksort,1000,715,0.025
113,quicksort,1000,91,0.031
114,quicksort,1000,246,0.023
115,quicksort,1000,895,0.024
116,quicksort,1000,468,0.022
117,quicksort,1000,657,0.023
118,quicksort,1000,523,0.025
119,quicksort,1000,192,0.031
120,quicksort,1000,341,0.026
121,quicksort,1000,786,0.028
122,quicksort,1000,800,0.027
123,quicksort,1000,88,0.025
124,quicksort,1000,492,0.029
125,quicksort,1000,223,0.022
126,quicksort,1000,789,0.023
127,quicksort,1000,728,0.023
128,quicksort,1000,549,0.034
129,quicksort,1000,17,0.035
130,quicksort,1000,314,0.026
131,quicksort,1000,147,0.029
132,quicksort,1000,802,0.029
133,quicksort,1000,910,0.028
134,quicksort,1000,901,0.022
135,quicksort,1000,964,0.022
136,quicksort,1000,605,0.027
137,quicksort,1000,674,0.026
138,quicksort,1000,796,0.027
139,quicksort,1000,717,0.022
140,quicksort,1000,843,0.024
141,quicksort,1000,557,0.023
142,quicksort,1000,73,0.022
143,quicksort,1000,335,0.026
144,quicksort,1000,897,0.024
145,quicksort,1000,929,0.022
146,quicksort,1000,992,0.026
147,quicksort,1000,508,0.025
148,quicksort,1000,748,0.032
149,quicksort,1000,984,0.023
150,quicksort,1000,74,0.024
151,quicksort,1000,534,0.023
152,quicksort,1000,946,0.029
153,quicksort,1000,223,0.029
154,quicksort,1000,862,0.031
155,quicksort,1000,621,0.028
156,quicksort,1000,105,0.029
157,quicksort,1000,468,0.035
158,quicksort,1000,781,0.029
159,quicksort,1000,787,0.023
160,quicksort,1000,626,0.023
161,quicksort,1000,81,0.022
162,quicksort,1000,747,0.023
163,quicksort,1000,696,0.030
164,quicksort,1000,941,0.025
165,quicksort,1000,582,0.022
166,quicksort,1000,252,0.022
167,quicksort,1000,884,0.026
168,quicksort,1000,828,0.029
169,quicksort,1000,816,0.027
170,quicksort,1000,964,0.022
171,quicksort,1000,968,0.022
172,quicksort,1000,607,0.022
173,quicksort,1000,83,0.025
174,quicksort,1000,84,0.023
175,quicksort,1000,27,0.023
176,quicksort,1000,643,0.024
177,quicksort,1000,153,0.024
178,quicksort,1000,77,0.039
179,quicksort,1000,997,0.030
180,quicksort,1000,98,0.026
181,quicksort,1000,880,0.028
182,quicksort,1000,366,0.024
183,quicksort,1000,510,0.027
184,quicksort,1000,904,0.034
185,quicksort,1000,900,0.027
186,quicksort,1000,622,0.035
187,quicksort,1000,836,0.029
188,quicksort,1000,210,0.027
189,quicksort,1000,337,0.029
190,quicksort,1000,240,0.027
191,quicksort,1000,998,0.025
192,quicksort,1000,415,0.027
193,quicksort,1000,455,0.022
194,quicksort,1000,410,0.027
195,quicksort,1000,796,0.028
196,quicksort,1000,676,0.024
197,quicksort,1000,587,0.029
198,quicksort,1000,964,0.026
199,quicksort,1000,858,0.030
200,quicksort,1000,528,0.028
