"Sample Number","fileSize","kvalue","quickselect","quicksort","deterministicselect"
027,10^3,352,0.030,0.036,0.037,
028,10^3,736,0.033,0.036,0.031,
029,10^3,136,0.027,0.030,0.038,
030,10^3,760,0.036,0.036,0.038,
031,10^3,105,0.040,0.035,0.042,
032,10^3,784,0.035,0.027,0.040,
033,10^3,163,0.048,0.028,0.031,
034,10^3,165,0.033,0.039,0.039,
035,10^3,10^2,0.030,0.036,0.029,
036,10^3,690,0.031,0.031,0.036,
037,10^3,117,0.035,0.029,0.041,
038,10^3,472,0.041,0.026,0.033,
039,10^3,817,0.032,0.040,0.044,
040,10^3,620,0.033,0.037,0.034,
041,10^3,295,0.030,0.028,0.034,
042,10^3,302,0.045,0.031,0.037,
043,10^3,140,0.034,0.033,0.041,
044,10^3,258,0.030,0.031,0.032,
045,10^3,1,0.033,0.036,0.030,
046,10^3,353,0.030,0.053,0.029,
047,10^3,902,0.027,0.031,0.039,
048,10^3,191,0.037,0.031,0.040,
049,10^3,944,0.027,0.040,0.035,
050,10^3,706,0.031,0.039,0.034,
051,10^3,842,0.030,0.033,0.033,
052,10^3,538,0.033,0.032,0.034,
053,10^3,50,0.045,0.038,0.044,
054,10^3,381,0.037,0.034,0.039,
055,10^3,421,0.046,0.032,0.037,
056,10^3,697,0.029,0.034,0.034,
057,10^3,826,0.031,0.037,0.035,
058,10^3,410,0.029,0.037,0.029,
059,10^3,802,0.037,0.041,0.038,
060,10^3,366,0.035,0.029,0.034,
061,10^3,524,0.029,0.036,0.035,
062,10^3,53,0.037,0.048,0.040,
063,10^3,384,0.030,0.036,0.038,
064,10^3,772,0.034,0.035,0.034,
065,10^3,239,0.025,0.028,0.043,
066,10^3,157,0.029,0.032,0.041,
067,10^3,244,0.035,0.037,0.038,
068,10^3,376,0.036,0.029,0.044,
069,10^3,469,0.030,0.032,0.033,
070,10^3,397,0.034,0.036,0.039,
071,10^3,134,0.027,0.036,0.029,
072,10^3,879,0.037,0.037,0.037,
073,10^3,773,0.035,0.037,0.032,
074,10^3,292,0.032,0.036,0.036,
075,10^3,461,0.033,0.041,0.036,
076,10^3,43,0.029,0.038,0.034,
077,10^3,643,0.031,0.034,0.035,
078,10^3,52,0.035,0.036,0.035,
079,10^3,481,0.046,0.037,0.032,
080,10^3,997,0.029,0.038,0.036,
081,10^3,612,0.034,0.035,0.037,
082,10^3,940,0.030,0.036,0.030,
083,10^3,413,0.033,0.031,0.033,
084,10^3,929,0.039,0.042,0.045,
085,10^3,963,0.035,0.034,0.038,
086,10^3,935,0.035,0.040,0.036,
087,10^3,432,0.031,0.036,0.034,
088,10^3,748,0.035,0.037,0.038,
089,10^3,506,0.033,0.041,0.031,
090,10^3,713,0.031,0.035,0.038,
091,10^3,512,0.034,0.036,0.032,
092,10^3,695,0.037,0.036,0.036,
093,10^3,706,0.030,0.034,0.035,
094,10^3,429,0.037,0.035,0.044,
095,10^3,205,0.034,0.039,0.039,
096,10^3,40,0.035,0.035,0.030,
097,10^3,577,0.032,0.034,0.046,
098,10^3,992,0.065,0.034,0.040,
099,10^3,335,0.036,0.036,0.037,
100,10^3,453,0.035,0.036,0.036,
101,10^3,679,0.039,0.035,0.041,
102,10^3,322,0.040,0.036,0.042,
103,10^3,391,0.041,0.036,0.041,
104,10^3,160,0.041,0.039,0.033,
105,10^3,22,0.036,0.045,0.034,
106,10^3,442,0.042,0.037,0.040,
107,10^3,141,0.032,0.033,0.039,
108,10^3,361,0.035,0.036,0.047,
109,10^3,612,0.035,0.037,0.038,
110,10^3,270,0.038,0.039,0.045,
111,10^3,79,0.038,0.037,0.046,
112,10^3,686,0.045,0.044,0.038,
113,10^3,34,0.037,0.034,0.045,
114,10^3,733,0.036,0.034,0.039,
115,10^3,237,0.034,0.033,0.038,
116,10^3,939,0.044,0.043,0.039,
117,10^3,682,0.034,0.034,0.042,
118,10^3,310,0.056,0.039,0.039,
119,10^3,133,0.035,0.036,0.042,
120,10^3,74,0.037,0.037,0.039,
121,10^3,315,0.040,0.045,0.037,
122,10^3,77,0.041,0.057,0.044,
123,10^3,689,0.047,0.035,0.044,
124,10^3,81,0.035,0.038,0.038,
125,10^3,940,0.035,0.036,0.043,
126,10^3,664,0.041,0.039,0.041,
127,10^3,818,0.036,0.038,0.048,
128,10^3,462,0.041,0.038,0.044,
129,10^3,642,0.042,0.036,0.043,
130,10^3,373,0.034,0.043,0.039,
131,10^3,570,0.039,0.042,0.041,
132,10^3,411,0.031,0.048,0.047,
133,10^3,177,0.049,0.037,0.035,
134,10^3,65,0.036,0.044,0.041,
135,10^3,421,0.039,0.029,0.038,
136,10^3,601,0.037,0.043,0.045,
137,10^3,44,0.045,0.033,0.043,
138,10^3,560,0.044,0.033,0.054,
139,10^3,790,0.030,0.044,0.038,
140,10^3,101,0.043,0.036,0.048,
141,10^3,933,0.040,0.042,0.038,
142,10^3,137,0.029,0.040,0.032,
143,10^3,920,0.036,0.036,0.039,
144,10^3,541,0.063,0.049,0.040,
145,10^3,251,0.035,0.033,0.041,
146,10^3,413,0.037,0.047,0.039,
147,10^3,67,0.034,0.040,0.048,
148,10^3,970,0.046,0.033,0.042,
149,10^3,94,0.043,0.033,0.046,
150,10^3,987,0.051,0.039,0.037,
151,10^3,178,0.043,0.040,0.040,
152,10^3,531,0.037,0.044,0.037,
153,10^3,980,0.033,0.041,0.042,
154,10^3,316,0.029,0.037,0.039,
155,10^3,806,0.033,0.041,0.036,
156,10^3,709,0.031,0.036,0.051,
157,10^3,785,0.034,0.029,0.039,
158,10^3,399,0.031,0.038,0.037,
159,10^3,653,0.038,0.042,0.036,
160,10^3,884,0.036,0.036,0.037,
161,10^3,584,0.036,0.043,0.055,
162,10^3,253,0.035,0.053,0.083,
163,10^3,720,0.040,0.039,0.037,
164,10^3,560,0.035,0.039,0.036,
165,10^3,541,0.037,0.033,0.040,
166,10^3,537,0.037,0.048,0.043,
167,10^3,703,0.049,0.036,0.040,
168,10^3,80,0.042,0.039,0.041,
169,10^3,294,0.037,0.042,0.028,
170,10^3,79,0.033,0.043,0.037,
171,10^3,973,0.038,0.029,0.037,
172,10^3,743,0.035,0.027,0.042,
173,10^3,700,0.034,0.030,0.036,
174,10^3,410,0.041,0.045,0.042,
175,10^3,107,0.038,0.039,0.044,
176,10^3,977,0.033,0.037,0.039,
177,10^3,294,0.039,0.038,0.040,
178,10^3,91,0.034,0.038,0.044,
179,10^3,382,0.033,0.039,0.042,
180,10^3,12,0.038,0.044,0.051,
181,10^3,160,0.025,0.043,0.044,
182,10^3,381,0.048,0.040,0.049,
183,10^3,336,0.040,0.046,0.039,
184,10^3,255,0.039,0.046,0.043,
185,10^3,381,0.040,0.042,0.034,
186,10^3,873,0.048,0.039,0.029,
187,10^3,63,0.041,0.039,0.039,
188,10^3,659,0.040,0.041,0.035,
189,10^3,873,0.055,0.072,0.053,
190,10^3,281,0.042,0.035,0.045,
191,10^3,719,0.029,0.039,0.042,
192,10^3,131,0.036,0.039,0.041,
193,10^3,781,0.034,0.037,0.041,
194,10^3,367,0.032,0.038,0.042,
195,10^3,743,0.030,0.048,0.045,
196,10^3,573,0.037,0.041,0.043,
197,10^3,114,0.034,0.038,0.039,
198,10^3,355,0.043,0.057,0.034,
199,10^3,830,0.034,0.040,0.038,
200,10^3,222,0.040,0.045,0.041,
001,10^4,6612,0.045,0.061,0.075,
002,10^4,375,0.043,0.063,0.066,
003,10^4,8293,0.041,0.072,0.064,
004,10^4,7431,0.045,0.073,0.062,
005,10^4,4315,0.048,0.065,0.059,
006,10^4,9019,0.049,0.074,0.069,
007,10^4,9858,0.045,0.061,0.072,
008,10^4,1458,0.043,0.080,0.059,
009,10^4,3883,0.048,0.068,0.083,
010,10^4,2895,0.046,0.072,0.065,
011,10^4,1927,0.041,0.060,0.069,
012,10^4,1419,0.049,0.067,0.091,
013,10^4,5142,0.112,0.069,0.068,
014,10^4,7076,0.045,0.073,0.073,
015,10^4,4790,0.048,0.056,0.070,
016,10^4,7054,0.049,0.069,0.062,
017,10^4,3622,0.052,0.068,0.073,
018,10^4,4897,0.057,0.064,0.070,
019,10^4,4691,0.046,0.069,0.062,
020,10^4,7299,0.051,0.073,0.070,
021,10^4,8373,0.046,0.071,0.055,
022,10^4,9055,0.044,0.072,0.056,
023,10^4,4975,0.040,0.072,0.061,
024,10^4,1004,0.049,0.058,0.066,
025,10^4,760,0.050,0.074,0.062,
026,10^4,9539,0.053,0.070,0.058,
027,10^4,2936,0.042,0.074,0.055,
028,10^4,9483,0.041,0.058,0.064,
029,10^4,80,0.043,0.060,0.061,
030,10^4,3071,0.052,0.058,0.063,
031,10^4,3042,0.041,0.068,0.074,
032,10^4,3556,0.065,0.082,0.073,
033,10^4,8830,0.042,0.061,0.063,
034,10^4,5447,0.042,0.061,0.065,
035,10^4,5844,0.045,0.065,0.066,
036,10^4,598,0.052,0.064,0.068,
037,10^4,2249,0.046,0.064,0.054,
038,10^4,6291,0.046,0.068,0.057,
039,10^4,34,0.044,0.058,0.058,
040,10^4,8888,0.057,0.059,0.058,
041,10^4,7890,0.041,0.071,0.053,
042,10^4,4042,0.045,0.059,0.063,
043,10^4,1246,0.046,0.062,0.056,
044,10^4,8901,0.043,0.062,0.064,
045,10^4,5377,0.045,0.057,0.064,
046,10^4,8521,0.044,0.065,0.062,
047,10^4,1837,0.043,0.065,0.060,
048,10^4,247,0.034,0.068,0.068,
049,10^4,264,0.043,0.074,0.065,
050,10^4,3398,0.046,0.066,0.070,
051,10^4,1419,0.048,0.069,0.069,
052,10^4,2661,0.047,0.067,0.100,
053,10^4,1827,0.043,0.058,0.057,
054,10^4,7400,0.037,0.063,0.076,
055,10^4,2190,0.039,0.054,0.063,
056,10^4,2509,0.043,0.061,0.060,
057,10^4,5810,0.045,0.066,0.057,
058,10^4,9074,0.046,0.057,0.068,
059,10^4,4555,0.038,0.063,0.052,
060,10^4,2144,0.035,0.058,0.066,
061,10^4,1927,0.042,0.055,0.064,
062,10^4,9331,0.047,0.070,0.053,
063,10^4,6459,0.043,0.069,0.056,
064,10^4,7424,0.042,0.057,0.062,
065,10^4,2237,0.045,0.068,0.063,
066,10^4,7007,0.046,0.069,0.054,
067,10^4,2987,0.038,0.067,0.063,
068,10^4,3034,0.047,0.063,0.063,
069,10^4,9582,0.042,0.069,0.053,
070,10^4,2027,0.040,0.058,0.068,
071,10^4,5382,0.043,0.065,0.055,
072,10^4,6914,0.044,0.053,0.064,
073,10^4,2179,0.042,0.065,0.062,
074,10^4,9995,0.039,0.060,0.112,
075,10^4,5842,0.043,0.067,0.060,
076,10^4,227,0.045,0.059,0.073,
077,10^4,8042,0.044,0.057,0.066,
078,10^4,7868,0.045,0.065,0.059,
079,10^4,653,0.043,0.070,0.054,
080,10^4,2900,0.048,0.058,0.070,
081,10^4,9785,0.040,0.059,0.060,
082,10^4,2400,0.042,0.065,0.055,
083,10^4,8006,0.037,0.057,0.069,
084,10^4,5833,0.044,0.066,0.055,
085,10^4,4549,0.037,0.054,0.077,
086,10^4,3164,0.052,0.059,0.065,
087,10^4,4316,0.053,0.052,0.057,
088,10^4,7935,0.039,0.060,0.060,
089,10^4,9601,0.048,0.058,0.069,
090,10^4,4596,0.047,0.065,0.057,
091,10^4,119,0.039,0.061,0.062,
092,10^4,309,0.040,0.060,0.052,
093,10^4,1751,0.044,0.057,0.068,
094,10^4,5025,0.040,0.091,0.096,
095,10^4,5080,0.044,0.062,0.067,
096,10^4,6843,0.047,0.053,0.057,
097,10^4,6040,0.044,0.072,0.057,
098,10^4,8856,0.039,0.080,0.070,
099,10^4,2113,0.051,0.055,0.056,
100,10^4,8427,0.041,0.058,0.061,
101,10^4,4163,0.047,0.063,0.067,
102,10^4,4123,0.051,0.076,0.058,
103,10^4,9524,0.046,0.069,0.065,
104,10^4,6394,0.048,0.066,0.064,
105,10^4,1302,0.050,0.059,0.058,
106,10^4,9003,0.046,0.068,0.070,
107,10^4,9485,0.042,0.067,0.062,
108,10^4,8829,0.045,0.074,0.064,
109,10^4,8616,0.051,0.063,0.066,
110,10^4,4436,0.050,0.077,0.065,
111,10^4,6830,0.047,0.075,0.066,
112,10^4,8747,0.047,0.066,0.074,
113,10^4,1123,0.047,0.073,0.063,
114,10^4,9174,0.047,0.072,0.070,
115,10^4,4174,0.073,0.065,0.059,
116,10^4,1799,0.042,0.071,0.063,
117,10^4,1458,0.044,0.067,0.063,
118,10^4,596,0.049,0.074,0.070,
119,10^4,2417,0.049,0.067,0.062,
120,10^4,8474,0.046,0.067,0.059,
121,10^4,30,0.046,0.076,0.061,
122,10^4,5279,0.050,0.073,0.066,
123,10^4,2645,0.047,0.061,0.058,
124,10^4,4018,0.050,0.071,0.069,
125,10^4,185,0.046,0.067,0.060,
126,10^4,1137,0.051,0.072,0.060,
127,10^4,2786,0.047,0.067,0.065,
128,10^4,7805,0.048,0.068,0.067,
129,10^4,6134,0.038,0.067,0.058,
130,10^4,2809,0.044,0.071,0.058,
131,10^4,8575,0.047,0.072,0.066,
132,10^4,7523,0.040,0.066,0.069,
133,10^4,2446,0.040,0.090,0.116,
134,10^4,409,0.036,0.065,0.075,
135,10^4,3733,0.046,0.070,0.066,
136,10^4,9926,0.058,0.056,0.082,
137,10^4,3732,0.056,0.076,0.082,
138,10^4,5633,0.041,0.063,0.068,
139,10^4,7204,0.058,0.077,0.051,
140,10^4,7963,0.051,0.066,0.074,
141,10^4,2883,0.032,0.078,0.075,
142,10^4,1945,0.052,0.065,0.077,
143,10^4,5303,0.054,0.077,0.076,
144,10^4,8806,0.050,0.069,0.066,
145,10^4,2669,0.051,0.073,0.073,
146,10^4,80,0.044,0.060,0.065,
147,10^4,6441,0.049,0.069,0.073,
148,10^4,2599,0.053,0.067,0.073,
149,10^4,7778,0.043,0.081,0.074,
150,10^4,3880,0.055,0.071,0.065,
151,10^4,2436,0.051,0.072,0.079,
152,10^4,5366,0.047,0.080,0.090,
153,10^4,1682,0.046,0.078,0.076,
154,10^4,8318,0.052,0.072,0.076,
155,10^4,9181,0.053,0.066,0.095,
156,10^4,9743,0.060,0.076,0.076,
157,10^4,3699,0.048,0.068,0.068,
158,10^4,4122,0.047,0.073,0.073,
159,10^4,8337,0.048,0.074,0.058,
160,10^4,814,0.046,0.071,0.082,
161,10^4,7873,0.054,0.065,0.068,
162,10^4,7003,0.048,0.069,0.065,
163,10^4,1757,0.056,0.067,0.069,
164,10^4,9193,0.042,0.062,0.065,
165,10^4,1193,0.046,0.056,0.072,
166,10^4,1423,0.042,0.078,0.062,
167,10^4,4160,0.051,0.072,0.066,
168,10^4,6320,0.051,0.067,0.065,
169,10^4,164,0.042,0.067,0.060,
170,10^4,5237,0.058,0.105,0.067,
171,10^4,8066,0.053,0.058,0.064,
172,10^4,709,0.040,0.060,0.064,
173,10^4,5236,0.034,0.051,0.071,
174,10^4,1284,0.030,0.050,0.055,
175,10^4,8657,0.031,0.046,0.046,
176,10^4,299,0.028,0.048,0.045,
177,10^4,6735,0.034,0.048,0.044,
178,10^4,2263,0.031,0.047,0.046,
179,10^4,9824,0.034,0.050,0.049,
180,10^4,1169,0.033,0.053,0.049,
181,10^4,1806,0.029,0.048,0.047,
182,10^4,8831,0.029,0.048,0.048,
183,10^4,734,0.035,0.065,0.061,
184,10^4,523,0.038,0.054,0.054,
185,10^4,8596,0.033,0.049,0.049,
186,10^4,1686,0.036,0.054,0.047,
187,10^4,8038,0.034,0.049,0.048,
188,10^4,8244,0.063,0.122,0.071,
189,10^4,6303,0.069,0.069,0.061,
190,10^4,2069,0.043,0.059,0.058,
191,10^4,8140,0.043,0.060,0.055,
192,10^4,9814,0.038,0.052,0.053,
193,10^4,8833,0.045,0.067,0.064,
194,10^4,4821,0.057,0.057,0.066,
195,10^4,2307,0.057,0.065,0.049,
196,10^4,2133,0.033,0.050,0.049,
197,10^4,7467,0.034,0.057,0.049,
198,10^4,6565,0.034,0.055,0.054,
199,10^4,6302,0.048,0.094,0.075,
200,10^4,8894,0.094,0.113,0.098,
001,10^5,17982,0.185,0.433,0.373,
002,10^5,23952,0.146,0.416,0.454,
003,10^5,14093,0.153,0.518,0.372,
004,10^5,21043,0.215,0.446,0.396,
005,10^5,10369,0.224,0.481,0.420,
006,10^5,20508,0.182,0.501,0.402,
007,10^5,11588,0.169,0.505,0.382,
008,10^5,13892,0.166,0.462,0.374,
009,10^5,30625,0.149,0.440,0.375,
010,10^5,10883,0.114,0.453,0.348,
011,10^5,5066,0.153,0.448,0.346,
012,10^5,27500,0.152,0.472,0.383,
013,10^5,4908,0.211,0.439,0.344,
014,10^5,1201,0.158,0.440,0.318,
015,10^5,23014,0.164,0.447,0.329,
016,10^5,20369,0.161,0.448,0.348,
017,10^5,21500,0.146,0.427,0.341,
018,10^5,32450,0.171,0.424,0.347,
019,10^5,23257,0.159,0.442,0.341,
020,10^5,8409,0.160,0.420,0.338,
021,10^5,13380,0.134,0.439,0.358,
022,10^5,30232,0.205,0.457,0.372,
023,10^5,716,0.184,0.444,0.390,
024,10^5,7725,0.161,0.404,0.334,
025,10^5,27740,0.189,0.397,0.341,
026,10^5,28735,0.151,0.374,0.298,
027,10^5,22136,0.153,0.377,0.302,
028,10^5,13166,0.149,0.366,0.299,
029,10^5,4172,0.132,0.386,0.295,
030,10^5,22402,0.146,0.381,0.293,
031,10^5,18839,0.120,0.372,0.293,
032,10^5,11642,0.120,0.353,0.296,
033,10^5,31258,0.160,0.363,0.290,
034,10^5,25930,0.168,0.366,0.298,
035,10^5,4110,0.119,0.363,0.300,
036,10^5,12765,0.136,0.386,0.351,
037,10^5,3284,0.105,0.435,0.355,
038,10^5,22073,0.173,0.600,0.414,
039,10^5,21975,0.143,0.462,0.369,
040,10^5,30295,0.182,0.466,0.381,
041,10^5,7260,0.214,0.505,0.359,
042,10^5,17418,0.193,0.531,0.366,
043,10^5,2480,0.153,0.471,0.369,
044,10^5,29714,0.221,0.453,0.375,
045,10^5,1526,0.137,0.455,0.379,
046,10^5,16679,0.161,0.539,0.375,
047,10^5,9861,0.177,0.509,0.395,
048,10^5,4768,0.171,0.539,0.412,
049,10^5,17811,0.143,0.498,0.428,
050,10^5,4615,0.192,0.491,0.413,
