Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
72,1000,879,0.037,0.037,0.037
73,1000,773,0.035,0.037,0.032
74,1000,292,0.032,0.036,0.036
75,1000,461,0.033,0.041,0.036
76,1000,43,0.029,0.038,0.034
77,1000,643,0.031,0.034,0.035
78,1000,52,0.035,0.036,0.035
79,1000,481,0.046,0.037,0.032
80,1000,997,0.029,0.038,0.036
81,1000,612,0.034,0.035,0.037
82,1000,940,0.03,0.036,0.03
83,1000,413,0.033,0.031,0.033
84,1000,929,0.039,0.042,0.045
85,1000,963,0.035,0.034,0.038
86,1000,935,0.035,0.04,0.036
87,1000,432,0.031,0.036,0.034
88,1000,748,0.035,0.037,0.038
89,1000,506,0.033,0.041,0.031
90,1000,713,0.031,0.035,0.038
91,1000,512,0.034,0.036,0.032
92,1000,695,0.037,0.036,0.036
93,1000,706,0.03,0.034,0.035
94,1000,429,0.037,0.035,0.044
95,1000,205,0.034,0.039,0.039
96,1000,40,0.035,0.035,0.03
97,1000,577,0.032,0.034,0.046
98,1000,992,0.065,0.034,0.04
99,1000,335,0.036,0.036,0.037
100,1000,453,0.035,0.036,0.036
101,1000,679,0.039,0.035,0.041
102,1000,322,0.04,0.036,0.042
103,1000,391,0.041,0.036,0.041
104,1000,160,0.041,0.039,0.033
105,1000,22,0.036,0.045,0.034
106,1000,442,0.042,0.037,0.04
107,1000,141,0.032,0.033,0.039
108,1000,361,0.035,0.036,0.047
109,1000,612,0.035,0.037,0.038
110,1000,270,0.038,0.039,0.045
111,1000,79,0.038,0.037,0.046
112,1000,686,0.045,0.044,0.038
113,1000,34,0.037,0.034,0.045
114,1000,733,0.036,0.034,0.039
115,1000,237,0.034,0.033,0.038
116,1000,939,0.044,0.043,0.039
117,1000,682,0.034,0.034,0.042
118,1000,310,0.056,0.039,0.039
119,1000,133,0.035,0.036,0.042
120,1000,74,0.037,0.037,0.039
121,1000,315,0.04,0.045,0.037
122,1000,77,0.041,0.057,0.044
123,1000,689,0.047,0.035,0.044
124,1000,81,0.035,0.038,0.038
125,1000,940,0.035,0.036,0.043
126,1000,664,0.041,0.039,0.041
127,1000,818,0.036,0.038,0.048
128,1000,462,0.041,0.038,0.044
129,1000,642,0.042,0.036,0.043
130,1000,373,0.034,0.043,0.039
131,1000,570,0.039,0.042,0.041
132,1000,411,0.031,0.048,0.047
133,1000,177,0.049,0.037,0.035
134,1000,65,0.036,0.044,0.041
135,1000,421,0.039,0.029,0.038
136,1000,601,0.037,0.043,0.045
137,1000,44,0.045,0.033,0.043
138,1000,560,0.044,0.033,0.054
139,1000,790,0.03,0.044,0.038
140,1000,101,0.043,0.036,0.048
141,1000,933,0.04,0.042,0.038
142,1000,137,0.029,0.04,0.032
143,1000,920,0.036,0.036,0.039
144,1000,541,0.063,0.049,0.04
145,1000,251,0.035,0.033,0.041
146,1000,413,0.037,0.047,0.039
147,1000,67,0.034,0.04,0.048
148,1000,970,0.046,0.033,0.042
149,1000,94,0.043,0.033,0.046
150,1000,987,0.051,0.039,0.037
151,1000,178,0.043,0.04,0.04
152,1000,531,0.037,0.044,0.037
153,1000,980,0.033,0.041,0.042
154,1000,316,0.029,0.037,0.039
155,1000,806,0.033,0.041,0.036
156,1000,709,0.031,0.036,0.051
157,1000,785,0.034,0.029,0.039
158,1000,399,0.031,0.038,0.037
159,1000,653,0.038,0.042,0.036
160,1000,884,0.036,0.036,0.037
161,1000,584,0.036,0.043,0.055
162,1000,253,0.035,0.053,0.083
163,1000,720,0.04,0.039,0.037
164,1000,560,0.035,0.039,0.036
165,1000,541,0.037,0.033,0.04
166,1000,537,0.037,0.048,0.043
